type,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8
Gabriel,Yellow cyan earrings,Light black rabbit ear,Cyan orange lifting eye,Brownness the points bang waves  hair,Black rectangle mouth,Light orange round nose,Cyan cross,Golden two wing
Hamaliel,Cyan wing cloak,Light black pentagon era,Yellow black lifting eye,Dark red waves hair,Red mouth,Deep orange aquiline nose,Cyan violet ellipse truncheon,White six wings
Asmodel,Pink green earrings,Cyan elf ear,Deep orange black phonix eye,Violet short voume hair,Deep red heart shaped mouth,Blue aquiline nose,White clothing,
Haniel,Green pendant,Orange triangle ear,Yellow black long and thin eye,White braid hair,Black rectangle mouth,Orange short nose,White ellipse truncheon,White wing
Hamaliel,Green butterfly head band,Green elf ear,Yellow violet black round eye,Brownness braid hair,Rectangle mouth,Orange aquiline nose,White V necklace,
Asmodel,Golden butterfly head band,Brownness long ear,Cyan violet black perch blossom eye,Black the points bang waves  hair,Black round mouth,Orange aquiline nose,Deep cyan ellipse truncheon,Golden six wings
Asmodel,Cyan bar necklace,Light red  bar type ear,Cyan violet black rui cheng eye,Green shawls hair,Black oval mouth,Red pointed nose,Golden dress cross necklace,Golden two wing
Manuel,Yellow black,Brownness  bar type ear,Yellow violet black perch blossom eye,Golden short voume hair,Orange heart shaped mouth,Red short nose,Red butterfly pattern necklace,Cyan wing
Asmodel,Golden yellow cat head band,Light red long ear,Yellow gray black round eye,White side swept fringe waves  hair,Viole heart shaped mouth,Green pointed nose,Cyan saint sword,White four winged
Barbiel,Violet  hair clasp,Cyan  bar type ear,Orange black willow eye,White the vertical bun hair,Black rectangle mouth,Red aquiline nose,Blue clothing,Violet wing
Danae,Violet wing cloak,Light black elf ear,Red black phonix eye,White long hair,Yellow mouth,Deep red round nose,Blue dress cross necklace,White four winged
Cassiel,Cyan pendant,Cyan  bar type ear,Cyan black long and thin eye,Violet points in the temples hair,Brownness mouth,Light red round nose,Yellow semicircle truncheon,Cyan wing
Malahidiel,Violet  hair clasp,Light red  cat ear,Light orange black willow eye,Violet side swept fringe waves  hair,Violet mouth,Black aquiline nose,Blue cross,White wing
Michael,Yellow belt,Brownness pentagon era,Yellow red black perch blossom eye,White long hair,Deep red oval mouth,Black round nose,Red V necklace,Golden four winged
Haniel,Green belt,Blue short ear,Orange black phonix eye,Brownness short voume hair,Red mouth,Light brownness round nose,Golden shield,Golden four winged
Adnachiel,Cyan earrings,Deep red long ear,Light yellow black willow eye,Brownness points in the temples hair,Violet oval mouth,Red round nose,Cyan semicircle truncheon,Violet four winged
Ambiel,White green cat head band,Brownness short ear,Yellow red black round eye,Brownness the points bang waves  hair,Black mouth,Deep orange aquiline nose,Red shield,
Asmodel,Blue bar necklace,Light black elf ear,Yellow orang lifting eye,Green side swept fringe waves  hair,Deep red round mouth,Green round nose,White shield,
Cassiel,Green round earring,Violet pentagon era,Cyan yellow black perch blossom eye,Cyan waves hair,Yellow mouth,Blue short nose,Golden preious stone necklace,White four winged
Ambiel,Yellow black,Light red triangle ear,Yellow brownness black round eye,Golden short voume hair,Deep red oval mouth,Light red  pointed nose,Cyan cross,White wing
Adnachiel,Violet black,Blue long ear,Cyan yellow black rui cheng eye,Brownness short voume hair,Viole heart shaped mouth,Light red  pointed nose,White saint sword,Cyan four winged
Felicia,Yellow earrings,Brownness rabbit ear,Brownness black willow eye,Cyan side swept fringe waves  hair,Red heart shaped mouth,Orange short nose,Golden saint sword,Golden six wings
Danae,Pink crown,Green deer ear,Yellow cyan  black perch blossom eye,Violet the vertical bun hair,Brownness round mouth,Orange round nose,Blue saint sword,Golden two wing
Felicia,Blue long stick,Cyan long ear,Cyan violet black rui cheng eye,White arc bangs wave hair,Violet mouth,Dark red round nose,Cyan trident,Golden six wings
Haniel,Green belt,Deep red long ear,Yellow orange black round eye,Black arc bangs wave hair ,Deep red mouth,Black short nose,Golden bar head,Cyan two wing
Haniel,Blue round earring,Light red  cat ear,Light orange litchi eye,White shawls hair,Orange oval mouth,Red round nose,Golden spear,Cyan four winged
Adnachiel,Cyan long stick,Light red  bar type ear,Yellow pink black perch blossom eye,Violet arc bangs wave hair,Violet oval mouth,Light orange pointed nose,Cyan cross,
Zuriel,Violet butterfly head band,Violet deer ear,Yellow orange black perch blossom eye,Black points in the temples hair,Pink mouth,Blue short nose,Cyan trident,Golden two wing
Michael,Cyan butterfly head band,Light red  bar type ear,Cyan orange lifting eye,Brownness shoulder length hair,Black mouth,Orange short nose,Cyan shield,Violet two wing
Michael,White long stick,Deep red  bar type ear,Light orange black phonix eye,Dark red shoulder length hair,Brownness mouth,Red aquiline nose,Cyan saint sword,Golden four winged
Barbiel,Cyan wing cloak,Orange triangle ear,Cyan orange lifting eye,White the points bang waves  hair,Small orange mouth,Deep blue aquiline nose,Red V necklace,White wing
Ambiel,Violet black,Violet pentagon era,Cyan black litchi eye,Golden shoulder length hair,Black rectangle mouth,Orange short nose,Cyan semicircle truncheon,Cyan wing
Cassiel,White cyan authority,Deep red elf ear,Green black phonix eye,Violet arc bangs wave hair,Deep red mouth,Deep blue short nose,Yellow semicircle truncheon,Cyan wing
Manuel,Yellow belt,Orange elf ear,Green black phonix eye,Brownness waves hair,Pink mouth,Cyan round nose,Red trident,Golden four winged
Ambiel,Cyan belt,Deep yellow triangle ear,Green black phonix eye,White side swept fringe waves  hair,Deep red rectangle mouth,Green pointed nose,Golden semicircle truncheon,Golden wing
Barbiel,Deep pink earrings,Violet pentagon era,Deep orange black phonix eye,White long hair,Black rectangle mouth,Blue round nose,Golden V necklace,Cyan  six wings
Cassiel,Red long stick,Light black cat ear,Cyan yellow black rui cheng eye,Dark red points in the temples hair,Orange heart shaped mouth,Blue aquiline nose,Golden ellipse truncheon,White two wing
Gabriel,Blue bar necklace,Green rabbit ear,Yellow blue black round eye,Black waves hair,Brownness round mouth,Green pointed nose,Golden cross,
Hamaliel,Blue bar necklace,Cyan short ear,Light golden black willow eye,White side swept fringe waves  hair,Light yellow oval mouth,Violet aquiline nose,Yellow semicircle truncheon,White wing
Danae,Violet wing cloak,Deep yellow rabbit ear ,Cyan violet black perch blossom eye,Cyan the vertical bun hair,Pink mouth,Dark red round nose,Golden semicircle truncheon,White four winged
Gabriel,Cyan blue earrings,Light red  cat ear,Light yellow black willow eye,Black shoulder length hair,Deep red rectangle mouth,Violet pointed nose,Cyan preious stone necklace,Cyan two wing
Ambiel,Cyan black cat head band,Violet deer ear,Cyan black lifting eye,Brownness long hair,Violet round mouth,Violet short nose,Golden ellipse truncheon,Golden wing
Malahidiel,White helmet,Brownness long ear,Yellow violet black perch blossom eye,Golden short voume hair,Light yellow heart shaped mouth,Deep red long nose,Red cross,Cyan  six wings
Ambiel,Violet butterfly head band,Deep red long ear,Light cyan orange black rui cheng eye,Violet arc bangs wave hair,Black heart shaped mouth,Pink long nose,Cyan cross,Cyan wing
Ambiel,White green cat head band,Blue triangle ear,Cyan brownness black rui cheng eye,Golden shoulder length hair,Light yellow oval mouth,Deep blue short nose,White preious stone necklace,White two wing
Malahidiel,Golden yellow cat head band,Violet triangle ear,Yellow green black perch blossom eye,Violet the curly hair,Brownness round mouth,Red aquiline nose,Red trident,Violet wing
Ambiel,Cyan belt,Light black long ear,Yellow blue black round eye,Green arc bangs wave hair,Small orange mouth,Blue pointed nose,Red dress cross necklace,Black  six wings
Verchiel,Violet black earring,Cyan elf ear,Cyan red black perch blossom eye,White side swept fringe waves  hair,Light brownness round mouth,Orange aquiline nose,Golden preious stone necklace,White four winged
Manuel,Cyan black cat head band,Blue triangle ear,Deep red black willow eye,Golden braid hair,Black rectangle mouth,Brownness round nose,Blue V necklace,Golden four winged
Cassiel,Cyan pendant,Light black pentagon era,Deep red lifting eye,Black short voume hair,Brownness mouth,Light orange round nose,Cyan violet ellipse truncheon,
Haniel,Green necklace,Green short ear,Yellow pink black perch blossom eye,Brownness braid hair,Deep red mouth,Cyan long nose,Yellow ellipse truncheon,
Gabriel,Green black,Violet cat ear,Dark red black phonix eye,Black the curly hair,Deep red round mouth,Deep orange long nose,,
Haniel,White violet cat head band,Violet cat ear,Yellow pink black perch blossom eye,Cyan long hair,Orange round mouth,Black short nose,Golden trident,Golden two wing
Gabriel,Cyan front lace wig,Light black short ear,Deep red lifting eye,Brownness short voume hair,Light yellow heart shaped mouth,Violet short nose,Golden saint sword,
Adnachiel,Cyan black earring,Deep yellow triangle ear,Cyan black lifting eye,Black the curly hair,Deep red rectangle mouth,Cyan round nose,Cyan white ellipse truncheon,White four winged
Danae,Violet butterfly head band,Orange deer ear,Orange black willow eye,Dark red long hair,Violet oval mouth,Deep orange aquiline nose,Cyan saint sword,
Malahidiel,Golden yellow cat head band,Cyan triangle ear,Green  black willow eye,Brownness braid hair,Brownness round mouth,Pink short nose,Golden butterfly pattern necklace,
Danae,Green pendant,Deep red pentagon era,Yellow violet black perch blossom eye,Brownness the curly hair,Light yellow heart shaped mouth,Orange short nose,White V necklace,
Haniel,Cyan pink earrings,Deep yellow cat ear,Cyan orange black perch blossom eye,Green braid hair,Black oval mouth,Blue short nose,Golden ellipse truncheon,Cyan four winged
Manuel,White cyan authority,Brownness deer ear,Cyan gray black perch blossom eye,Cyan waves hair,Orange mouth,Violet long nose,Deep cyan ellipse truncheon,
Felicia,Yellow black earring,Blue short ear,Cyan orange black perch blossom eye,White the vertical bun hair,Red heart shaped mouth,Red pointed nose,Blue saint sword,Cyan two wing
Ambiel,White green cat head band,Blue triangle ear,Light yellow orange black round eye,Dark red waves hair,Brownness mouth,Deep orange long nose,Yellow semicircle truncheon,Golden six wings
Cassiel,yellow round earring,Deep yellow short ear,Yellow orange black round eye,Cyan the vertical bun hair,Small orange mouth,Blue pointed nose,Blue triangle necklace,
Verchiel,Cyan pink earrings,Light black long ear,Deep red black willow eye,Brownness the curly hair,Violet round mouth,Red long nose,White preious stone necklace,White four winged
Asmodel,Violet  hair clasp,Violet cat ear,Cyan blue black rui cheng eye,Brownness waves hair,Violet oval mouth,Red round nose,Blue butterfly pattern necklace,Golden four winged
Barbiel,Violet butterfly head band,Green elf ear,Yellow brownness black round eye,Black side swept fringe waves  hair,Orange mouth,Black round nose,Golden ellipse truncheon,White four winged
Cassiel,Golden butterfly head band,Green long ear,Red black phonix eye,Cyan the points bang waves  hair,Black round mouth,Red round nose,Blue saint sword,Golden wing
Hamaliel,Violet wing cloak,Light black  bar type ear,Light yellow black willow eye,Violet arc bangs wave hair,Orange oval mouth,Violet short nose,White ellipse truncheon,White two wing
Adnachiel,Violet black,Brownness  bar type ear,Yellow violet black round eye,Cyan the points bang waves  hair,Violet round mouth,Deep orange long nose,White dress cross necklace,Violet two wing
Cassiel,Cyan pendant,Deep yellow long ear,Yellow black lifting eye,Brownness braid hair,Violet oval mouth,Pink short nose,White shield,Cyan four winged
