type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Duck,Violet red polygon Hat,Big black eye&orange eyebrow,Blue Curly,Pale yellow triangle  Mouth,Cyan  tooth profine wing
Cuckoo,Black cyan Hat,Small black eye&long eyebrow,Deep red Curly,Red short Mouth,Black trapeziod wing  
Swallow,Orange yellow round Hat,Black red eye&A round eyebrow,Pink long hair,Pale red Mouth,Iridescence wing
Penguin,Pink headset,Light cyan eye&orange eyebrow,Cyan Curly,Orange triangle small Mouth,Colours trapeziod wing 
Duck,Orange black square Hat,Small black eye&red long eyebrow,Light cyan shorthair,Gray triangle Mouth,Blue cyan wing
Aurora,Violet round glasses,Blue black eye&long eyebrow,Black red hair,Deep orange triangle  Mouth,Red trapeziod wing 
Vulture,Orange pentagon glasses,Orange eye& eyCambridge blue eyebrow,Cyan punk,Black orange long Mouth,Red rhomboid wing
Pelican,Pink square glasses,Black eye&round black eyebrow,Yellow Curly,Red triangle Mouth,Khaki front shape wing
Turkey,Black white square glasses,Blue eye&blue eyebrows,Black middle parting,Blue triangle  Mouth,Red wing
Aurora,Dark blue  square glasses,Black eye&deep orange eyebrow,Black red hair,Blue black Mouth,Violetv wing
Blue Bird,Black white square glasses,Black whiteeye&round eyebrow,Cyan Curly,Orange polygon  Mouth,White gray wing
Hummingbird,Orange black polygon Hat,Black eye&deep orange eyebrow,Black long hair,Orange Mouth,Blue cyan wing
Pelican,Black pink Hat,Cyan eye&dark red eyebrow,Black short hair,Black yellow Mouth,Blue cyan wing
Woodpecker,Black triangle glasses,Black whiteeye&round eyebrow,Pink long hair,Deep Golden triangle Mouth,Yellow rhomboid wing
Cuckoo,Blue black pentagon glasses,White eye&black long eyebrow,Pink broken,Pale red Mouth,Orange rhomboid wing
Hummingbird,orange perked cap,Small black eye&orange  eyebrow,Light cyan shorthair,Orange small Mouth,Red trapeziod wing 
Blue Bird,Orange square glasses,Black eye&rectangle eyebrow,Deep red Curly,Gray big Mouth,Red trapeziod wing 
Penguin,Blue round glasses,White eye&Black eyebrow,Green crown,Light yellow short Mouth,Orange trapeziod wing 
Aurora,Blue square glasses,Black eye&deep orange eyebrow,Cyan Curly,Red triangle small Mouth,White sector wing
Woodpecker,Black triangle glasses,Black whiteeye&round eyebrow,Blue short hair,Orange triangle Mouth,Blue tooth profine wing
Chick,Dark blue gray polygon Hat,Black eye&pink eyebrow,Orange hairdo,Black orange small Mouth,Colours wing 
Seagull,Dark blue round Hat,Small black eye&red long eyebrow,Red punk,Get black triangle Mouth,Black rhomboid wing
Swallow,Deep blue mesh cap,Black red eye&A round eyebrow,Black middle parting,Golden triangle Mouth,Orange yellow wing
Pigeon,Pink triangle Hat,Cambridge blue eye&pink eyebrow,Red short hair,Light orange Mouth,Blue trapeziod wing 
Swan,Blue black triangle glasses,Small black eye&long eyebrow,Orange middle parting,Light orange short Mouth,Iridescence wing
Magpie,Blue black triangle glasses,Small black eye&long eyebrow,Blue long hair,Get black triangle Mouth,Yellow trapeziod wing 
Hummingbird,Green Hat,Big black eye&long eyebrow,Red Curly,Black long Mouth,Dark blue  wing 
Seagull,Deep blue polygon Hat,Black cyan eye&long eyebrow,Red Curly,Golden small Mouth,Dark blue  wing 
Thrush,Yellow Hat,Small black eye&orange  eyebrow,Golden airplane,Orange long Mouth, Dark violet front shape wing
Duck,White square glasses,White eye&black long eyebrow,Black red hair,Black orange long Mouth,Gray rhomboid wing
Seagull,Deep blue mesh cap,Big black eye&black long eyebrow,Blue hairdo,Deep Golden triangle Mouth,Dark Colours wing
Chick,Violet square glasses,Big black eye&long eyebrow,Deep red Curly,Orange polygon  Mouth,Colours front shape wing
Thrush,Dark blue headset,Black eye&rectangle eyebrow,Pink long hair,Deep Gray triangle Mouth,Red front shape wing 
Woodpecker,Black brow hat,Big black eye&black long eyebrow,Blue long hair,Black long Mouth,Yellow tooth profine wing
Seagull,Blue Hat,Light cyan eye&pink eyebrow,Blue short hair,Black long Mouth,Violetv wing
Ostrich,Orange black  Hat,Black eye&deep orange eyebrow,Red yellow crown,Black orange small Mouth,Dark blue cyan wing
Seagull,Brow hat,Light cyan eye&orange eyebrow,Orange middle parting,Black orange small Mouth,Violet front shape wing
Ostrich,Orange yellow round Hat,Cyan eye&dark red eyebrow,Black middle parting,Pale red Mouth,Dark blue  wing 
Cuckoo,Red round glasses,Black red eye&A round eyebrow,Black broken,Blue black Mouth,Violet rhomboid wing
Bullfinch,Orange black white round Hat,Orange eye& eyCambridge blue eyebrow,Blue long hair,Black bluw long Mouth,Dark red wing 
Ostrich,Orange yellow round Hat,Cambridge blue eye&black long eyebrow,Black long hair,Orange quadrangle Mouth,Cyan  tooth profine wing
Blue Bird,Deep yellow arch Hat,Black eye&long black eyebrow,Red punk,Gray Mouth,Red wing
Vulture,Pink triangle Hat,Orange eye& eyCambridge blue eyebrow,Pink Curly,Gray big Mouth,Dark blue cyan wing
Woodpecker,Black triangle glasses,Jet black eye&long eyebrow,Red Curly,Depp red triangle Mouth,Violetv wing
Pelican,Black pink Hat,Red eye&black eyebrow,Blue punk,Black yellow long Mouth,Orange rhomboid wing
Penguin,Black flat Hat,Small black eye&orange round eyebrow,Pink middle parting,Deep orange triangle  Mouth,Red trapeziod wing 
Ostrich,Yellow quadrangle Hat,Black eye&Black eyebrow,Red short hair,Black orange long Mouth,Dark blue cyan wing
Turkey,Yellow quadrangle Hat,Black eye&rectangle eyebrow,Black yellow hair,Pale red Mouth,Blue rhomboid wing
Vulture,Orange black polygon Hat,Black eye&rectangle eyebrow,Red airplane,Golden quadrangle  Mouth,Orange trapeziod wing 
Magpie,Blue black round glasses,Blue black eye&long eyebrow,Pink broken,Red triangle small Mouth,Colours wing 
Seagull,Black Hat,Cyan eye&dark red eyebrow,Cyan Curly,Golden small Mouth,Orange triangle  wing
Cuckoo,Black cyan Hat,Blue eye&blue eyebrows,Yellow braid,Blue small Mouth,Orange yellow wing
Swallow,Orange yellow round Hat,Black eye&round black eyebrow,Pink short hair,Blue Naroon,Light cyan front shape wing
Pigeon,Blue flat Hat,Light cyan  eye&orange long eyebrow,Above color crown,Pale gold Palegreen,Red rhomboid wing
Penguin,Dark orange necklace,Black red eye&A round eyebrow,Blue broken,Golden small Mouth,Violet trapeziod wing 
Swan,Blue black triangle glasses,Black eye&Black eyebrow,Pink Curly,Golden small Mouth,Violetv wing
Pelican,Green Hat,Black eye&orange long eyebrow,Red airplane,Orange long Mouth,Orange triangle  wing
Duck,Blue triangle Hat,Cyan black eye&long eyebrow,Pink long hair,Black long Mouth,Blue cyan wing
Bullfinch,Orange black square Hat,Small black eye&red long eyebrow,Plae yellow braid,Orange long Mouth,Blue rhomboid wing
Blue Bird,Black arch Hat,Black eye&round eyebrow,Black long hair,Golden triangle small Mouth,Blue front shape wing 
Vulture,Black orange necklace,Black purple eye&long eyebrow,Red short hair,Yellow long Mouth,Blue cyan wing
Blue Bird,Black arch Hat,Black eye&round eyebrow,Blue short hair,Orange polygon  Mouth,Red sector wing
Blue Bird,Black pink Hat,Blue eye&blue eyebrows,Black yellow hair,Golden triangle Mouth,Colours trapeziod wing 
Pigeon,Gray black Hat,Blue black eye&long eyebrow,Pink Curly,Pale red Mouth,Colours front shape wing
Chick,Black flat Hat,Blue eye&blue eyebrows,Cyan punk,Dark blue triangle Mouth,Dark black wing 
Swan,Blue black triangle glasses,Black eye&jet black eyebrow,Light cyan shorthair,Pale gold Palegreen,Orange triangle  wing
Aurora,Dark blue  square glasses,Red eye&black eyebrow,Black red hair,Red triangle Mouth,Dark black wing 
Turkey,Deep blue trapezoid Hat,Small black eye&long eyebrow,Blue punk,Black orange long Mouth,Violet tooth profine wing
Pelican,Pink square glasses,Black eye&jet black eyebrow,Black broken,Black orange small Mouth,White sector wing
Pigeon,Pink triangle Hat,Big black eye&black long eyebrow,Pink Curly,Orange long Mouth,Yellow agree front shape wing 
Pelican,Black pink Hat,Black eye&round black eyebrow,Red yellow crown,Black yellow long Mouth,Pink wing 
Hummingbird,orange perked cap,Black eye&rectangle eyebrow,Deep red Curly,Deep Golden triangle Mouth,White gray wing
Seagull,Blue Hat,Light cyan eye&pink eyebrow,Red airplane,Deep yellow triangle  Mouth,Gray rhomboid wing
Hummingbird,Red round glasses,Cambridge blue eye&pink eyebrow,Yellow braid,Orange triangle big Mouth,Violet front shape wing
Duck,Brow hat,White eye&Black eyebrow,Green crown,Red triangle Mouth,Dark red wing 
Hummingbird,Orange black polygon Hat,Small black eye&orange round eyebrow,Green crown,Gray Mouth,Pink wing 
Blue Bird,Red black quadrangle Hat,Black eye&jet black eyebrow,Blue long hair,Orange square Mouth,Violet tooth profine wing
Thrush,Black brow hat,Black eye&orange long eyebrow,Red Curly,Orange square Mouth,Dark blue cyan wing
Pelican,Blue square glasses,Black purple eye&long eyebrow,Pink short hair,Pale red Mouth,Yellow tooth profine wing
Bullfinch,Blue black round glasses,Black eye&rectangle eyebrow,Orange middle parting,Pale red Mouth,Blue cyan wing
Thrush,Red black quadrangle Hat,Black red eye&A round eyebrow,Above color crown,Gray triangle Mouth,Cyan trapeziod wing 
Blue Bird,Black pink Hat,Big black eye&black long eyebrow,Red airplane,Blue Naroon,Dark black wing 
Magpie,Black white necklace,Black eye&pink eyebrow,Pink short hair,Yellow long Mouth,Black rhomboid wing
Chick,Dark blue  square glasses,Light cyan  eye&orange long eyebrow,Black yellow hair,Orange square Mouth,Black trapeziod wing  
Aurora,Orange headset,White eye&black long eyebrow,Orange middle parting,Black triangle small Mouth,Blue tooth profine wing
Seagull,Black blue orange round Hat,Black eye&orange eyebrow,Black long hair,Golden small Mouth,Violet rhomboid wing
Aurora,Blue square glasses,Cyan eye&dark red eyebrow,Cyan short hair,Orange polygon  Mouth,Cyan  tooth profine wing
Bullfinch,Orange black white round Hat,Light cyan  eye&orange long eyebrow,Red Curly,Black yellow Mouth,Blue cyan wing
Turkey,Deep yellow arch Hat,Black eye&round eyebrow,Pink long hair,Orange polygon  Mouth,Colours sector wing
